"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Injured","# Victims Killed","# Subjects-Suspects Injured","# Subjects-Suspects Killed","# Subjects-Suspects Arrested",Operations
2198521,"December 27, 2021",Colorado,Denver,"56 Broadway",2,5,0,1,0,N/A
2178487,"November 30, 2021",Michigan,Oxford,"745 N Oxford Rd",7,4,0,0,1,N/A
2177416,"November 28, 2021",California,Lancaster,"3500 block of Garnet Lane",0,5,0,0,1,N/A
2166750,"November 14, 2021",Arizona,Tucson,"1655 W Ajo Way",1,0,0,4,0,N/A
2147301,"October 21, 2021",Washington,Tacoma,"4258 Everett St",0,4,0,0,1,N/A
2147042,"October 20, 2021",Michigan,Farwell,"9539 S Harrison Ave",0,4,0,0,1,N/A
2125444,"September 25, 2021",Tennessee,Athens,"Co Rd 60",1,4,0,0,2,N/A
2115947,"September 12, 2021",Minnesota,"Saint Paul","7th St W and N Walnut St",0,4,0,0,1,N/A
2108414,"September 5, 2021",Texas,Houston,"7518 Imogene St",0,4,0,0,0,N/A
2108302,"September 5, 2021",Florida,Lakeland,"N Socrum Loop Rd and Fulton Green Rd",1,4,1,0,1,N/A
2074406,"July 25, 2021",California,Wasco,"1718 1st St",1,4,0,1,0,N/A
2068568,"July 20, 2021",Texas,Jacksonville,"16241 TX-110",0,4,0,0,3,N/A
2035452,"June 15, 2021",Illinois,Chicago,"6221 S Morgan St",3,5,0,0,0,N/A
2015730,"May 26, 2021",California,"San Jose","101 W Younger Ave",0,9,0,1,0,N/A
2014381,"May 24, 2021",Ohio,"West Jefferson","127 Jackson St",0,4,0,0,1,N/A
1999125,"May 9, 2021",Colorado,"Colorado Springs","2828 Preakness Way",0,6,0,1,0,N/A
1989840,"April 28, 2021","North Carolina",Boone,"553 Hardaman Cir",0,4,0,1,0,N/A
1978635,"April 15, 2021",Indiana,Indianapolis,"8951 Mirabel Rd",7,8,0,1,0,N/A
1971410,"April 7, 2021","South Carolina","Rock Hill","4456 Marshall Rd",0,6,0,1,0,N/A
1969221,"April 3, 2021",Texas,Allen,"1517 Pine Bluff Dr",0,4,0,2,0,N/A
1966181,"March 31, 2021",California,Orange,"202 West Lincoln Ave",1,4,1,0,1,N/A
1963598,"March 28, 2021",Maryland,Essex,"1601 Middleborough Rd",1,4,0,1,0,N/A
1958652,"March 22, 2021",Colorado,Boulder,"3600 Table Mesa Dr",0,10,1,0,1,N/A
1954379,"March 16, 2021",Georgia,Acworth,"6468 Hwy 92",1,8,0,0,1,N/A
1952161,"March 13, 2021",Indiana,Indianapolis,"300 block of N Randolph St",1,4,0,0,1,N/A
1917909,"February 2, 2021",Oklahoma,Muskogee,"903 Indiana St",1,6,0,0,1,N/A
1910136,"January 24, 2021",Indiana,Indianapolis,"3540 Adams St",1,5,0,0,1,N/A
1898261,"January 9, 2021",Illinois,Evanston,"100 Asbury Ave",2,5,0,1,0,N/A
