Incident Date,State,City Or County,Day,Day of week,Month,Weekend,Holiday
2018-01-01,California,Los Angeles,1,0,1,0,1
2018-01-01,Alabama,Bessemer (Concord),1,0,1,0,1
2018-01-01,North Carolina,Charlotte,1,0,1,0,1
2018-01-01,Michigan,Flint,1,0,1,0,1
2018-01-01,California,Los Angeles,1,0,1,0,1
2018-01-02,Pennsylvania,Orwigsburg,2,1,1,0,0
2018-01-04,Missouri,Kansas City,4,3,1,0,0
2018-01-04,Illinois,Maywood,4,3,1,0,0
2018-01-04,Louisiana,Baton Rouge,4,3,1,0,0
2018-01-05,California,Santa Clarita,5,4,1,0,0
2018-01-06,Alabama,Gadsden,6,5,1,1,0
2018-01-07,Florida,Marianna,7,6,1,1,0
2018-01-08,Louisiana,Shreveport,8,0,1,0,0
2018-01-08,Texas,Galveston,8,0,1,0,0
2018-01-09,North Carolina,Statesville,9,1,1,0,0
2018-01-10,Louisiana,Monroe (Richwood),10,2,1,0,0
2018-01-10,Missouri,Saint Louis,10,2,1,0,0
2018-01-11,Illinois,Rockford,11,3,1,0,0
2018-01-12,Tennessee,Nashville,12,4,1,0,0
2018-01-12,North Carolina,Durham,12,4,1,0,0
2018-01-12,Virginia,Newport News,12,4,1,0,0
2018-01-13,Texas,San Antonio,13,5,1,1,0
2018-01-14,California,Stockton,14,6,1,1,0
2018-01-14,Missouri,Saint Louis,14,6,1,1,0
2018-01-14,North Carolina,Charlotte,14,6,1,1,0
2018-01-15,Florida,Alachua,15,0,1,0,1
2018-01-15,Arizona,Phoenix,15,0,1,0,1
2018-01-17,Michigan,Grand Rapids,17,2,1,0,0
2018-01-17,Missouri,Springfield,17,2,1,0,0
2018-01-19,Arkansas,North Little Rock,19,4,1,0,0
2018-01-20,California,Compton,20,5,1,1,0
2018-01-20,Illinois,Chicago,20,5,1,1,0
2018-01-20,Ohio,Lorain,20,5,1,1,0
2018-01-20,Missouri,Kansas City,20,5,1,1,0
2018-01-20,Pennsylvania,Pittsburgh (Homewood),20,5,1,1,0
2018-01-20,Florida,Webster,20,5,1,1,0
2018-01-21,Florida,Orlando,21,6,1,1,0
2018-01-23,Colorado,Colorado Springs,23,1,1,0,0
2018-01-24,Arkansas,Warren,24,2,1,0,0
2018-01-24,Texas,Fort Worth,24,2,1,0,0
2018-01-24,Georgia,Atlanta,24,2,1,0,0
2018-01-25,Missouri,Grain Valley,25,3,1,0,0
2018-01-25,Wisconsin,Livingston,25,3,1,0,0
2018-01-25,Georgia,Byromville,25,3,1,0,0
2018-01-25,Utah,Vernal,25,3,1,0,0
2018-01-26,Florida,Marianna,26,4,1,0,0
2018-01-27,Texas,Texas City,27,5,1,1,0
2018-01-28,New Jersey,Jersey City,28,6,1,1,0
2018-01-28,Texas,Houston,28,6,1,1,0
2018-01-28,Tennessee,Madison,28,6,1,1,0
2018-01-29,California,Los Angeles,29,0,1,0,0
2018-01-29,Indiana,South Bend,29,0,1,0,0
2018-01-29,Nevada,Carson City,29,0,1,0,0
2018-01-29,Missouri,Poplar Bluff,29,0,1,0,0
2018-01-31,Illinois,Chicago,31,2,1,0,0
2018-02-01,South Carolina,Sumter,1,3,2,0,0
2018-02-02,Missouri,Saint Louis,2,4,2,0,0
2018-02-03,South Carolina,Dillon,3,5,2,1,0
2018-02-05,Kansas,Girard,5,0,2,0,0
2018-02-05,Texas,Mabank,5,0,2,0,0
2018-02-06,Indiana,Fort Wayne,6,1,2,0,0
2018-02-08,Alabama,Talladega,8,3,2,0,0
2018-02-08,Florida,Jacksonville,8,3,2,0,0
2018-02-10,Georgia,Atlanta,10,5,2,1,0
2018-02-10,Missouri,Barnhart,10,5,2,1,0
2018-02-11,Ohio,Cleveland,11,6,2,1,0
2018-02-12,Alabama,Birmingham,12,0,2,0,0
2018-02-13,Missouri,Kansas City (Raytown),13,1,2,0,0
2018-02-14,Georgia,Savannah,14,2,2,0,0
2018-02-16,Ohio,Akron,16,4,2,0,0
2018-02-18,Missouri,Saint Louis,18,6,2,1,0
2018-02-18,California,Madera,18,6,2,1,0
2018-02-18,Florida,Jacksonville,18,6,2,1,0
2018-02-18,Texas,San Antonio,18,6,2,1,0
2018-02-19,South Carolina,North Charleston,19,0,2,0,1
2018-02-19,Tennessee,Brownsville,19,0,2,0,1
