Incident Date,State,City Or County,Address,# Victims Injured,# Victims Killed,# Subjects-Suspects Injured,# Subjects-Suspects Killed,# Subjects-Suspects Arrested,Operations,year,Participant Gender,Participant Name,Participant Age Group,# Casualties,Latitude,Longitude,Day Name,Month
2018-01-01,California,Los Angeles,Baring Cross and W 88th St,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,34.0536909,-118.242766,Monday,January
2018-01-01,Alabama,Bessemer (Concord),6400 block of William Dr,0.0,1.0,0.0,0.0,0.0,,2018,,,,1.0,,,Monday,January
2018-01-01,North Carolina,Charlotte,2305 Farmer St,2.0,0.0,0.0,0.0,0.0,,2018,,,,2.0,35.2272086,-80.8430827,Monday,January
2018-01-01,Michigan,Flint,5501 Granville Ave,0.0,1.0,0.0,0.0,0.0,,2018,,,,1.0,43.0161693,-83.6900211,Monday,January
2018-01-01,California,Los Angeles,W 105th St and Denker Ave,3.0,0.0,0.0,0.0,0.0,,2018,,,,3.0,34.0536909,-118.242766,Monday,January
2018-01-02,Pennsylvania,Orwigsburg,214 E Market St,1.0,0.0,0.0,0.0,1.0,,2018,,,,1.0,40.6548566,-76.1007318,Tuesday,January
2018-01-04,Missouri,Kansas City,300 block of E 6th Terrace,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,39.100105,-94.5781416,Thursday,January
2018-01-04,Illinois,Maywood,500 W Lake St,2.0,1.0,1.0,0.0,0.0,,2018,,,,4.0,33.9866807,-118.185349,Thursday,January
2018-01-04,Louisiana,Baton Rouge,900 Block of N 31st St,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,30.4494155,-91.1869659,Thursday,January
2018-01-05,California,Santa Clarita,28871 Startree Ln,0.0,3.0,0.0,1.0,0.0,,2018,,,,4.0,34.3916641,-118.542586,Friday,January
2018-01-06,Alabama,Gadsden,1000 Rainbow Drive,2.0,0.0,0.0,0.0,2.0,,2018,,,,2.0,34.010929,-85.9989596,Saturday,January
2018-01-07,Florida,Marianna,FL 73,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,30.7743596,-85.2268735,Sunday,January
2018-01-08,Louisiana,Shreveport,2619 Merwin Street,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,32.4707862,-93.7559378,Monday,January
2018-01-08,Texas,Galveston,5222 Seawall Blvd,0.0,3.0,0.0,1.0,0.0,,2018,,,,4.0,29.299328,-94.7945882,Monday,January
2018-01-09,North Carolina,Statesville,Caldwell St,3.0,0.0,0.0,0.0,1.0,,2018,,,,3.0,35.7826363,-80.8872959,Tuesday,January
2018-01-10,Missouri,Saint Louis,10400 block of Count Dr,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,38.6280278,-90.1910154,Wednesday,January
2018-01-10,Louisiana,Monroe (Richwood),Highland Road,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,32.4375833,-92.0911988,Wednesday,January
2018-01-11,Illinois,Rockford,800 Concord Ave,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,42.2713945,-89.093966,Thursday,January
2018-01-12,Tennessee,Nashville,2614 Jenkins Ct,2.0,3.0,0.0,0.0,1.0,,2018,,,,5.0,36.1622767,-86.7742984,Friday,January
2018-01-12,North Carolina,Durham,3804 N Duke St,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,35.996653,-78.9018053,Friday,January
2018-01-12,Virginia,Newport News,13200 block of Aqueduct Dr,1.0,0.0,0.0,0.0,1.0,,2018,,,,1.0,36.9775016,-76.42977,Friday,January
2018-01-13,Texas,San Antonio,W Travis St and NW 25th St,2.0,0.0,0.0,0.0,0.0,,2018,,,,2.0,29.4246002,-98.4951405,Saturday,January
2018-01-14,Missouri,Saint Louis,Sidney St and California Ave,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,38.6280278,-90.1910154,Sunday,January
2018-01-14,North Carolina,Charlotte,2000 Block of Cairns Mill Ct,1.0,0.0,0.0,0.0,1.0,,2018,,,,1.0,35.2272086,-80.8430827,Sunday,January
2018-01-14,California,Stockton,Country Club Blvd,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,37.9577016,-121.2907796,Sunday,January
2018-01-15,Florida,Alachua,14223 NW 156th Pl,5.0,0.0,0.0,0.0,2.0,,2018,,,,5.0,29.675568,-82.3640109,Monday,January
2018-01-15,Arizona,Phoenix,N 19th Ave and W Cactus Rd,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,33.4484367,-112.074141,Monday,January
2018-01-17,Michigan,Grand Rapids,Montgomery St SE,0.0,2.0,0.0,0.0,0.0,,2018,,,,2.0,42.9632405,-85.6678639,Wednesday,January
2018-01-17,Missouri,Springfield,2400 Block of W Alta St,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,39.7990175,-89.6439575,Wednesday,January
2018-01-19,Arkansas,North Little Rock,5900 McCain Park Pl,1.0,1.0,0.0,0.0,0.0,,2018,,,,2.0,34.769536,-92.2670941,Friday,January
2018-01-20,Florida,Webster,,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,32.050618,-84.5473105,Saturday,January
2018-01-20,Pennsylvania,Pittsburgh (Homewood),7000 block of Hermitage St,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,40.4523494,-79.8988438,Saturday,January
2018-01-20,Missouri,Kansas City,Emmanuel Cleaver II Blvd and US 71,0.0,1.0,0.0,0.0,0.0,,2018,,,,1.0,39.100105,-94.5781416,Saturday,January
2018-01-20,Ohio,Lorain,Larkmoor Ave and Missouri Ave,2.0,0.0,0.0,0.0,1.0,,2018,,,,2.0,41.4673238,-82.1781904,Saturday,January
2018-01-20,California,Compton,2876 W Alondra Blvd,0.0,1.0,0.0,0.0,2.0,,2018,,,,1.0,33.894927,-118.226624,Saturday,January
2018-01-20,Illinois,Chicago,2000 N Laramie Ave,2.0,0.0,0.0,0.0,0.0,,2018,,,,2.0,41.8755616,-87.6244212,Saturday,January
2018-01-21,Florida,Orlando,3101 Willow Bend Blvd,4.0,0.0,0.0,0.0,2.0,,2018,,,,4.0,28.5421109,-81.3790304,Sunday,January
2018-01-23,Colorado,Colorado Springs,1145 Bell Tower Heights,1.0,0.0,0.0,0.0,1.0,,2018,,,,1.0,38.8339578,-104.825348,Tuesday,January
2018-01-24,Arkansas,Warren,S Martin St,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,41.8119602,-79.2654452,Wednesday,January
2018-01-24,Texas,Fort Worth,3900 block of Lawnwood St,0.0,1.0,0.0,0.0,0.0,,2018,,,,1.0,32.753177,-97.3327459,Wednesday,January
2018-01-24,Georgia,Atlanta,2543 Susan Lane,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,33.7489924,-84.3902644,Wednesday,January
2018-01-25,Missouri,Grain Valley,900 block of NW Dogwood Dr,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,39.0187651,-94.1976452,Thursday,January
2018-01-25,Wisconsin,Livingston,W Co Rd E,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,40.8682487,-88.5631125,Thursday,January
2018-01-25,Georgia,Byromville,Church Ave and Hill Street,1.0,3.0,0.0,0.0,0.0,,2018,,,,4.0,32.2021071,-83.9085132,Thursday,January
2018-01-25,Utah,Vernal,,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,40.4556825,-109.528474,Thursday,January
2018-01-26,Florida,Marianna,Townhouse Rd,0.0,1.0,0.0,0.0,1.0,,2018,,,,1.0,30.7743596,-85.2268735,Friday,January
2018-01-27,Texas,Texas City,2800 block of Lynn Cir,0.0,1.0,0.0,0.0,0.0,,2018,,,,1.0,29.396013,-94.9175485,Saturday,January
2018-01-28,Tennessee,Madison,Sarver St,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,43.074761,-89.3837613,Sunday,January
2018-01-28,New Jersey,Jersey City,57 Dales Ave,1.0,0.0,0.0,0.0,2.0,,2018,,,,1.0,40.7215682,-74.047455,Sunday,January
2018-01-28,Texas,Houston,1400 block of W Gulf Bank Rd,0.0,1.0,0.0,0.0,0.0,,2018,,,,1.0,29.7589382,-95.3676974,Sunday,January
2018-01-29,California,Los Angeles,10400 block of Avalon Blvd,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,34.0536909,-118.242766,Monday,January
2018-01-29,Indiana,South Bend,1800 block of Chapin St,1.0,0.0,0.0,0.0,0.0,,2018,,,,1.0,41.6833813,-86.2500066,Monday,January
2018-01-29,Nevada,Carson City,3400 block of Airport Rd,1.0,0.0,0.0,0.0,1.0,,2018,,,,1.0,39.1698022,-119.7575628,Monday,January
